Date,Id,DayType,Heart,DayRate,Oddometer,Weight,DaiMile,HeaV1,HeaV2,HeaV3,HeaV4,HeaV5,HeaV6,HeaV7,HeaV8,HeaV9,Peak_Day,Peak_Wee,Peak_Mon,Memo,Sleep,Level,Level1,Level2,Level3,Level4,Level5,TotalHrs,WeeklySunday,Type
"04/10/93 00:00:00",1,"Route #1 - Tsw WRock",0,0,0.00000000e+00,0.00000000e+00,6.00000000e+01,"01:47:07","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","00:00:00","1","123","456","781","297","211","01:47:07","04/04/93 00:00:00",1
"05/08/93 00:00:00",1,"Route #1 - Tsw WRock",,,,,6.00000000e+01,,,,,,,,,,,,,"Average of 34.3 KM/Hr ",,,,,,,,"01:44:54",,2
"05/08/93 00:00:00",1,"Route #1 - Tsw WRock",0,0,0.00000000e+00,0.00000000e+00,6.00000000e+01,"01:44:54","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","00:00:00","1","123","456","781","297","211","01:44:54","05/02/93 00:00:00",1
"06/23/93 00:00:00",1,"Route #1 - Tsw WRock",,,,,6.00000000e+01,,,,,,,,,,,,,"Average of 36.2 - used Good wheels. ",,,,,,,,"01:39:19",,2
"06/23/93 00:00:00",1,"Route #1 - Tsw WRock",0,0,0.00000000e+00,0.00000000e+00,6.00000000e+01,"01:39:19","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","00:00:00","1","123","456","781","297","211","01:39:19","06/20/93 00:00:00",1
"05/29/93 00:00:00",1,"Route #1 - Tsw WRock",,,,,6.00000000e+01,,,,,,,,,,,,,"Average of 34.9 KM/H ",,,,,,,,"01:42:57",,2
"05/29/93 00:00:00",1,"Route #1 - Tsw WRock",0,0,0.00000000e+00,0.00000000e+00,6.00000000e+01,"01:42:57","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","00:00:00","1","123","456","781","297","211","01:42:57","05/23/93 00:00:00",1
"06/01/93 00:00:00",1,"Route #2 - 40KM TT",,,,,4.00000000e+01,,,,,,,,,,,,,"Average of 37.6 KM/Hr ",,,,,,,,"01:03:41",,2
"06/01/93 00:00:00",1,"Route #2 - 40KM TT",0,0,0.00000000e+00,0.00000000e+00,4.00000000e+01,"01:03:41","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","00:00:00","1","123","456","781","297","211","01:03:41","05/30/93 00:00:00",1
"03/02/03 00:00:00",1,"Races",42,0,0.00000000e+00,0.00000000e+00,9.00000000e+01,"00:00:00","00:00:00","00:00:00","00:30:00","01:30:00","01:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule","First training race of the year... It was the flat rectangle course along River Road in Langley. Made 13 of 17 laps with the A's. 

My weakness was, position in pack and lack of power to sprint upto the pack at each corner.","08:30:00","2","123","456","781","297","211","03:00:00","03/02/03 00:00:00",1
"03/04/03 00:00:00",1,"Route #9 - UBC",,,,,7.50000000e+00,,,,,,,,,,,,,"First intervals was best of 10:45 ",,,,,,,,"00:10:45",,2
"03/04/03 00:00:00",1,"Intervals.",46,3,0.00000000e+00,0.00000000e+00,8.80000000e+01,"00:00:00","01:00:00","01:30:00","00:16:00","01:00:00","00:10:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule","Did six interval of route #4 UBC - 
1. 10:45
2. 11:46
3. 11:15
4. 11:37
5. 11:25
6. 11:47

 ","10:00:00","2","123","456","781","297","211","03:56:00","03/02/03 00:00:00",1
"03/05/03 00:00:00",1,"Regular",48,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,"00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","09:00:00","1","123","456","781","297","211","00:00:00","03/02/03 00:00:00",1
"03/06/03 00:00:00",1,"Overdistance",45,0,0.00000000e+00,0.00000000e+00,6.00000000e+01,"00:00:00","00:00:00","01:30:00","00:30:00","00:15:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule","Road out to Dizzy to pickup saddle and then continued to Horse Bay and then back over Lions Gate bridge, around Stanely Park and home by Granville Island. ","09:30:00","2","123","456","781","297","211","02:15:00","03/02/03 00:00:00",1
"03/06/03 00:00:00",2,"Regular",0,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,"00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","00:00:00","1","123","456","789","166","000","00:00:00","03/02/03 00:00:00",1
"03/06/03 00:00:00",7,"Sprints",88,7,2.00000000e+00,0.00000000e+00,2.40000000e+01,"00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","No Current Peak Schedule","No Current Peak Schedule","No Current Peak Schedule"," ","88:00:00","1","000","000","000","000","000","00:00:00","03/02/03 00:00:00",1
