Date,Id,DayType,Color
"12/14/00 00:00:00",1,"Regular",1.26322600e+07
"12/17/00 00:00:00",1,"Overdistance",8.42137600e+06
"12/16/00 00:00:00",1,"Overdistance",8.42137600e+06
"12/18/00 00:00:00",1,"Rest Day",1.67444500e+07
"12/19/00 00:00:00",1,"Overdistance",8.42137600e+06
"12/20/00 00:00:00",1,"Overdistance",8.42137600e+06
"12/23/00 00:00:00",1,"Overdistance",8.42137600e+06
"12/30/00 00:00:00",1,"Overdistance",8.42137600e+06
"01/01/01 00:00:00",1,"Overdistance",8.42137600e+06
"01/04/01 00:00:00",1,"Rest Day",1.67444500e+07
"01/03/01 00:00:00",1,"Overdistance",8.42137600e+06
"01/02/01 00:00:00",1,"Overdistance",8.42137600e+06
"01/05/01 00:00:00",1,"Rest Day",1.67444500e+07
"01/09/01 00:00:00",1,"Tempo Riding",3.27680000e+04
"01/08/01 00:00:00",1,"Weight Training",4.25958400e+06
"01/07/01 00:00:00",1,"Rest Day",1.67444500e+07
"01/10/01 00:00:00",1,"Weight Training",4.25958400e+06
"01/13/01 00:00:00",1,"Tempo Riding",3.27680000e+04
"01/17/01 00:00:00",1,"Weight Training",4.25958400e+06
"01/16/01 00:00:00",1,"Intervals.",3.30230000e+04
"01/18/01 00:00:00",1,"Overdistance",8.42137600e+06
"01/20/01 00:00:00",1,"Intervals.",3.30230000e+04
"01/23/01 00:00:00",1,"Intervals.",3.30230000e+04
"01/24/01 00:00:00",1,"Tempo Riding",3.27680000e+04
"01/27/01 00:00:00",1,"Intervals.",3.30230000e+04
"01/31/01 00:00:00",1,"Regular",1.26322600e+07
"01/30/01 00:00:00",1,"Intervals.",3.30230000e+04
"02/01/01 00:00:00",1,"Overdistance",8.42137600e+06
"02/10/01 00:00:00",1,"Overdistance",8.42137600e+06
"02/09/01 00:00:00",1,"Rest Day",1.67444500e+07
"02/08/01 00:00:00",1,"Rest Day",1.67444500e+07
"02/07/01 00:00:00",1,"Rest Day",1.67444500e+07
"02/03/01 00:00:00",1,"Tempo Riding",3.27680000e+04
"02/18/01 00:00:00",1,"Intervals.",3.30230000e+04
"02/19/01 00:00:00",1,"Weight Training",4.25958400e+06
"02/28/01 00:00:00",1,"Weight Training",4.25958400e+06
"02/27/01 00:00:00",1,"Time Trial Training",1.26158100e+07
"02/24/01 00:00:00",1,"Tempo Riding",3.27680000e+04
"02/26/01 00:00:00",1,"Weight Training",4.25958400e+06
