Date,Id,Page,Evememo,EveType,Color,PointToCont
"08/22/98 00:00:00",1,1,"Cedar Road Race","Races",16711808,2
"09/12/98 00:00:00",1,1,"International Hill Climb, North & West Vancouver","Hill Climbs",255,3
"07/21/00 00:00:00",1,3,"Tour de White Rock","Races",4259584,18
"05/11/02 00:00:00",1,1,"Gary Lund Classic","Races",4259584,20
"05/25/02 00:00:00",1,1,"Sisu Cup No. 1","Races",4259584,22
"06/02/02 00:00:00",1,1,"Sisu Cup No. 2","Races",4259584,21
"06/09/02 00:00:00",1,1,"Provincial Road Championships","Races",4259584,23
"06/16/02 00:00:00",1,1,"Sisc Cup No. 3","Races",4259584,24
"07/19/02 00:00:00",1,1,"Sisc Cup No. 6","Races",4259584,26
"07/12/02 00:00:00",1,1,"Delta Bike race","Races",4259584,25
"06/22/02 00:00:00",1,1,"Tour de Moody","Races",4259584,27
"03/02/03 00:00:00",1,1,"Escape Velocity - Route #1","Races",4259584,28
"03/08/03 00:00:00",1,1,"Escape Velocity - Route #4","Races",4259584,28
"03/16/03 00:00:00",1,1,"Escape Velocity - Route #3 (Armstrong)","Races",4259584,28
"04/10/03 00:00:00",1,1,"Birthday ride","40 KM TT (Route)",16711935,10
"06/14/03 00:00:00",1,1,"Norm Lowe RR","Races",8421631,
"06/27/03 00:00:00",1,1,"National Road Races","Races",8421631,
"05/29/03 00:00:00",1,1,"Mount Hood Classic Stage Race - May 29 June 1.","Races",255,38
"05/30/03 00:00:00",1,1,"Mount Hood Classic Stage Race - May 29 June 1.","Races",255,38
"05/31/03 00:00:00",1,1,"Mount Hood Classic Stage Race - May 29 June 1.","Races",255,38
"06/01/03 00:00:00",1,1,"Mount Hood Classic Stage Race - May 29 June 1.","Races",255,38
"05/17/03 00:00:00",1,1,"Mutual of Enumclaw Stage Race May 17-18","Races",255,39
"05/18/03 00:00:00",1,1,"Mutual of Enumclaw Stage Race","Races",255,39
"04/13/03 00:00:00",1,1,"Harris Roubaix Cycling Classic","Races",255,37
"05/02/03 00:00:00",1,1,"Columbia Plateau Stage Race ","Races",255,40
"05/03/03 00:00:00",1,1,"Columbia Plateau Stage Race ","Races",255,40
"05/04/03 00:00:00",1,1,"Columbia Plateau Stage Race ","Races",255,40
"05/24/03 00:00:00",1,1,"Cardinal Law Sooke Classic Road Race","Races",255,41
"05/10/03 00:00:00",1,1,"Team Soliton - Seymore Demo T.T.","Races",255,37
