Id,P_Date,P_Nam,Cycle_Length,P_Sched
1,"03/13/03 00:00:00","2003 - Gary Lund (Plyo)",7,"15,16,15,16,1,1,16,"
1,"04/14/03 00:00:00","Power and speed",7,"1,20,19,21,1,5,5,"
1,"04/28/03 00:00:00","Base Training",7,"1,23,2,1,1,22,22,"
1,"04/28/03 00:00:00","Speed - Ed",7,"1,24,9,1,1,11,12,"
1,"05/28/04 00:00:00","Cadance Training",7,"1,26,22,22,1,27,22,"
1,,"3 Day Cycl",7,"1,13,14,13,1,14,13,"
1,,"3 Month Cycle",97,"1,1,2,1,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,2,3,6,"
1,,"3 Week Cycle",21,"1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,2,1,1,3,4,6,"
1,"02/02/99 00:00:00","5 on 1 off",42,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,"
1,"01/02/00 00:00:00","7 Day, Base",7,"5,5,5,5,5,5,5,"
1,"04/07/02 00:00:00","Weekly Training",7,"1,8,9,10,2,11,12,"
1,"04/21/02 00:00:00","3 Day Cycle",7,"4,1,1,1,3,4,6,"
1,"03/05/03 00:00:00",,10,"0,0,0,0,0,0,0,0,0,0,"
7,"03/06/03 00:00:00","peak this",7,"1,1,1,1,1,2,1,"
1,"03/13/03 00:00:00","2003 - Gary Lund training",7,"1,18,9,17,1,11,12,"
1,"03/13/03 00:00:00",,7,"15,16,15,16,1,1,16,"
